round	variant	seed	fid	status	description	git_sha	timestamp
c1_ext_inference_scaling	vanilla_vs_v10l03	IN-1K-256	EqM-B/2	80ep	5K-gd/ngd	NEGATIVE_KILL	18949428+18952135	2026-06-04	C1 high-NFE: vanilla gd FID 45.71(250)->47.88(1000) +2.17 turn-up; anm-l03 41.25->45.27 +4.02 (degrades MORE). Advantage shrinks -4.46->-2.61 w/ NFE. ANM residual HIGHER (5.3-6.1 vs 4.1-5.2). No scaling capability; both crash home-full Errno28. Uniform ~4FID gain survives (quality not capability). C1 killed; C2 NOT launched (gate unmet).
bridge150_cifar	v00_vanilla	seed0	14.3145	BASE	EqM bridge 150ep CIFAR base floor	509268e	2026-06-05
bridge150_cifar	v12_random	seed0	13.6301	NEG_CTRL_BEATS_ALL	EqM bridge 150ep random-affine aug; beat base/disc/known -> gain is generic aug regularization not discovered symmetry	509268e	2026-06-05
bridge150_cifar	v12_discovered_orbit	seed0	14.4126	NEGATIVE_NO_BENEFIT	EqM bridge 150ep TREATMENT mixture-anchor discovered op + orbit aug; ~=base (+0.10), no FID benefit despite proxy pass	509268e	2026-06-05
bridge150_cifar	vK_known_aug	seed0	14.8239	POS_CTRL_FAILED	EqM bridge 150ep known rotate15 aug; WORSE than base (+0.51) -> rotation is NOT a useful CIFAR symmetry; positive control fails	509268e	2026-06-05
exp3_fidelity_diversity	v10_l03_vs_vanilla	IN-1K-256	26.8842	STRONG_SUCCESS	EqM-B/2 80ep, 49996 identical ids (4 corrupt vanilla PNGs dropped both arms), gd/250/cfg1.0/EMA, fixed seeded ref. ANM l03 FID 26.88 vs vanilla 31.27 (-4.38, CIs disjoint 27.27-27.85 vs 31.64-32.28). NO diversity tax: recall 0.7185->0.7193 flat, coverage 0.443->0.515 (+0.072), density 0.433->0.477, precision 0.581->0.604. Weak-class bottomQ FID 62.80->57.19 (-5.61, weak gain MORE). Classifier TV 0.181->0.162, cond-top1 0.433->0.483. 91% classes improve. Verdict strong_success (job 19120911).	342c504	2026-06-05T00:00:00Z
bridge150_se2	vK_translate_crop	seed0	12.5938	POS_CTRL_WIN	known random-crop pad4; -1.72 vs base -> translation IS a strong CIFAR lever (architecture critique confirmed; cf rotation +0.51)	b51ffb4	2026-06-05
bridge150_se2	v13_discovered_se2	seed0	14.0207	NEG_DISC_APPROX_RANDOM	SE2 discovered translation op (clean: tx-2.1 ty-2.0 det0.98 cond1.01 lin_off0.019 anchor6.29->3.67) + orbit aug; ~=random ~=base (-0.29 vs base, -0.06 vs random = noise). Single frozen op lacks per-step crop DIVERSITY; feature_shift_consistency~0.009 (incoherent, rung15 confound)	b51ffb4	2026-06-05
bridge150_se2	v13_random_se2	seed0	14.0759	NEG_CTRL	random SE2 affine (det0.74); -0.23 vs base	b51ffb4	2026-06-05
bridge150_se2	v10_hardneg	seed0	14.0776	COMPLETED	job 19405301 done 2026-06-06; FID(5k) ties random 14.08/base 14.31, v13_discovered 14.02; mining no edge over crop on bridge	a96b341	2026-06-06
in1k_80ep	v10_b2_lambda03	seed0	27.2086	COMPLETED	FID 50K job 19680996; -4.20 vs vanilla 31.41; Phase1 gate PASS (<=30.41)	5bf37cb	2026-06-07
in1k_80ep	v10_b2_lambda03	seed1	27.9230	COMPLETED	FID 50K job 19681008 (ep79 ckpt); -3.49 vs vanilla 31.41	5bf37cb	2026-06-07
in1k_80ep	v10_b2_lambda03	seed2	27.6020	COMPLETED	FID 50K job 19681015; -3.81 vs vanilla 31.41; 3-seed mean 27.58+-0.36	5bf37cb	2026-06-07
capability_rung1	van_s0_vs_v10_s1_step400k	n16	denoise=parity_all_gammas	inpaint_holePSNR_van7.275_v10_7.382	compose_bothrate_0.125_both	VERDICT=no_gap_capability_claim_fails
capability_rung2	van_s0_vs_v10_s1_step400k	n32	gray_dPSNR+0.008	lowres+0.025	blur+0.013	crop+0.016	all_LPIPS_delta<=0.004	VERDICT=no_transfer_gap_ladder_killed
